x,y,z,bp_rp,mag
26.722380716116852,-2046.7869280800514,-1413.728137247241,1.448328,15.773773
606.9475640989566,-847.3158314787503,994.127545491421,1.8349218,16.571081
-83.4565391831552,-21.2444183427611,-587.1523293260968,1.944891,19.02284
642.5914733984678,-1248.076904570118,-200.17637508621615,1.1072102,15.990891
1184.8854157786213,-964.2194308937696,1869.01791514921,1.5150146,16.393019
-1220.8877126622017,-821.3288879613172,-3231.617345608073,1.5017862,15.984467
799.4237421227965,-386.2027863249407,1031.658872057084,0.6164837,13.361048
651.0434159391906,-2050.5768265185607,401.8433061936613,1.8944826,16.4032
588.1122851091548,-523.610364010374,444.0519175409444,2.0878944,18.599535
1090.1543912697073,-2094.7768111071227,-282.8369190924907,1.217762,17.226263
378.66417265876635,-93.7789808127664,609.4634237895866,1.7636805,16.507833
-201.93331536599334,-165.60349273441156,-35.57464703849063,2.995472,19.253006
1136.2740089566203,-216.9802121824184,1377.8140975221133,0.8753376,15.411546
-388.6050256296119,-15.859263080471692,-1271.384077804851,1.7773266,17.533628
-1278.8839301929384,484.80537891631855,-946.8670415022854,1.2718115,13.125122
476.1068596969252,-153.77605829951395,344.9361100677864,2.0231514,17.136438
78.31594950740244,62.36324792513879,622.2182966421163,2.1615086,19.394571
-1367.0219140394338,-744.8883471406532,-3175.9703579810293,1.3871298,16.256912
1058.172407530237,-1377.4652778989278,-918.3138371263057,1.2935352,17.303614
56.19144972982421,-1117.069754329901,-925.2352375346267,0.8907099,15.113982
-68.95059583261083,-2728.658500491972,-1526.9647288175147,1.9432125,15.600622
484.554008260948,-847.5594074553184,-969.0595344091889,1.2623215,16.866999
134.69395643826866,-523.285873577991,-970.6262562435958,0.95121765,15.25891
-448.5838070451094,-427.9818404653352,-340.27144754519986,1.8048439,16.944052
-197.28891961973474,-2392.1490965957023,-1570.4955377783303,3.167511,12.37609
409.6612775180103,208.56165735118736,640.5721345824519,1.2933588,16.262678
-1820.5017760128044,-985.4515487828987,-3105.2881182482693,1.7377377,14.45565
-147.83517700296545,-2371.099641661468,-1849.400644510844,2.148879,14.619185
-339.2360035507759,-1426.9583540159906,514.1528164262244,0.9739685,16.352411
384.07738184202935,-945.59678564322,-403.89392985126,0.7765436,14.089566
-305.32936896735646,1537.5077191204905,-1021.0662106113401,1.4495239,17.993382
985.5569088944592,23.346304447538476,1646.6998989852857,0.8267679,14.344626
-19.715855086807583,73.95729754939278,151.82614813708844,2.0299654,14.750455
419.6272821052043,-287.7708307712431,500.1937308864685,2.5433865,19.524794
220.8911627258285,-580.5693447578428,1120.4931217716046,0.72816753,14.507369
-181.42093657795593,-1814.394807100544,-1047.473753354079,2.0096169,16.175684
